Area,Mean,Median,Period Start Date,Period End Date,Property Type
Lambeth,1397.0,1350.0,2020/04/01,2021/03/31,One Bedroom
Lambeth,1701.0,1635.0,2020/04/01,2021/03/31,Two Bedrooms
Lambeth,2286.0,2241.0,2020/04/01,2021/03/31,Three Bedrooms
Lambeth,3121.0,3180.0,2020/04/01,2021/03/31,Four or more Bedrooms
Lambeth,1788.0,1645.0,2020/04/01,2021/03/31,All categories
Lambeth,582.0,570.0,2021/04/01,2022/03/31,Room
Lambeth,1077.0,1000.0,2021/04/01,2022/03/31,Studio
Lambeth,1392.0,1350.0,2021/04/01,2022/03/31,One Bedroom
Lambeth,1695.0,1647.0,2021/04/01,2022/03/31,Two Bedrooms
Lambeth,2199.0,2167.0,2021/04/01,2022/03/31,Three Bedrooms
Lambeth,3180.0,3125.0,2021/04/01,2022/03/31,Four or more Bedrooms
Lambeth,1753.0,1600.0,2021/04/01,2022/03/31,All categories
Lambeth,581.0,600.0,2018/10/01,2019/09/30,Room
Lambeth,974.0,950.0,2018/10/01,2019/09/30,Studio
Lambeth,1412.0,1400.0,2018/10/01,2019/09/30,One Bedroom
Lambeth,1699.0,1650.0,2018/10/01,2019/09/30,Two Bedrooms
Lambeth,2296.0,2200.0,2018/10/01,2019/09/30,Three Bedrooms
Lambeth,3043.0,3000.0,2018/10/01,2019/09/30,Four or more Bedrooms
Lambeth,1754.0,1600.0,2018/10/01,2019/09/30,All categories
Lambeth,667.0,663.0,2019/10/01,2020/09/30,Room
Lambeth,1240.0,1250.0,2019/10/01,2020/09/30,Studio
Lambeth,1595.0,1500.0,2019/10/01,2020/09/30,One Bedroom
Lambeth,1893.0,1700.0,2019/10/01,2020/09/30,Two Bedrooms
Lambeth,2531.0,2400.0,2019/10/01,2020/09/30,Three Bedrooms
Lambeth,3161.0,3175.0,2019/10/01,2020/09/30,Four or more Bedrooms
Lambeth,1961.0,1768.0,2019/10/01,2020/09/30,All categories
Lambeth,587.0,580.0,2020/10/01,2021/09/30,Room
Lambeth,1098.0,954.0,2020/10/01,2021/09/30,Studio
Lambeth,1348.0,1300.0,2020/10/01,2021/09/30,One Bedroom
Lambeth,1664.0,1600.0,2020/10/01,2021/09/30,Two Bedrooms
Lambeth,2197.0,2150.0,2020/10/01,2021/09/30,Three Bedrooms
Lambeth,2977.0,3000.0,2020/10/01,2021/09/30,Four or more Bedrooms
Lambeth,1731.0,1600.0,2020/10/01,2021/09/30,All categories
Lewisham,671.0,700.0,2019/04/01,2020/03/31,Room
Lewisham,872.0,850.0,2019/04/01,2020/03/31,Studio
Lewisham,1141.0,1118.0,2019/04/01,2020/03/31,One Bedroom
Lewisham,1355.0,1350.0,2019/04/01,2020/03/31,Two Bedrooms
Lewisham,1635.0,1600.0,2019/04/01,2020/03/31,Three Bedrooms
Lewisham,2291.0,2200.0,2019/04/01,2020/03/31,Four or more Bedrooms
Lewisham,1316.0,1300.0,2019/04/01,2020/03/31,All categories
Lewisham,699.0,695.0,2020/04/01,2021/03/31,Room
Lewisham,904.0,875.0,2020/04/01,2021/03/31,Studio
